date,apple_driving,apple_transit,apple_walking,citymapper,google_retail_recreation,google_grocery_pharmacy,google_parks,google_transit,google_workplaces,google_residential,tomtom,waze
2019-12-30,,,,,,,,,,,63.6363636,
2019-12-31,,,,,,,,,,,54.0540541,
2020-01-01,,,,,,,,,,,28.947368400000002,
2020-01-02,,,,,,,,,,,48.7179487,
2020-01-03,,,,,,,,,,,57.894736800000004,
2020-01-04,,,,,,,,,,,71.42857140000001,
2020-01-05,,,,,,,,,,,73.9130435,
2020-01-06,,,,,,,,,,,90.9090909,
2020-01-07,,,,,,,,,,,91.8918919,
2020-01-08,,,,,,,,,,,92.1052632,
2020-01-09,,,,,,,,,,,97.4358974,
2020-01-10,,,,,,,,,,,86.8421053,
2020-01-11,,,,,,,,,,,92.8571429,
2020-01-12,,,,,,,,,,,86.9565217,
2020-01-13,100.0,100.0,100.0,,,,,,,,118.1818182,
2020-01-14,107.65,105.14,108.89,,,,,,,,118.9189189,
2020-01-15,111.2,107.06,116.84,,,,,,,,121.0526316,
2020-01-16,108.29,106.08,118.82,,,,,,,,105.1282051,
2020-01-17,115.08,115.13,132.18,,,,,,,,102.6315789,
2020-01-18,122.2,126.63,160.29,,,,,,,,107.1428571,
2020-01-19,101.06,104.37,105.12,,,,,,,,95.6521739,
2020-01-20,105.14,103.68,108.02,,,,,,,,121.2121212,
2020-01-21,112.18,109.45,120.52,,,,,,,,121.6216216,
2020-01-22,114.32,112.85,124.81,,,,,,,,118.4210526,
2020-01-23,111.18,111.52,127.01,,,,,,,,110.2564103,
2020-01-24,118.01,120.06,137.38,,,,,,,,107.8947368,
2020-01-25,124.14,130.78,162.41,,,,,,,,107.1428571,
2020-01-26,99.42,105.11,97.16,,,,,,,,104.3478261,
2020-01-27,103.01,103.7,100.01,,,,,,,,127.2727273,
2020-01-28,105.92,105.84,113.27,,,,,,,,110.8108108,
2020-01-29,108.66,110.18,122.75,,,,,,,,107.8947368,
2020-01-30,109.46,111.72,124.96,,,,,,,,105.1282051,
2020-01-31,118.35,124.67,144.13,,,,,,,,102.6315789,
2020-02-01,121.48,129.92,161.17,,,,,,,,107.1428571,
2020-02-02,103.99,111.18,103.93,,,,,,,,95.6521739,
2020-02-03,101.6,104.18,105.67,,,,,,,,112.12121210000001,
2020-02-04,105.72,107.19,115.03,,,,,,,,102.7027027,
2020-02-05,110.51,111.08,125.42,,,,,,,,105.2631579,
2020-02-06,110.47,111.71,128.43,,,,,,,,102.5641026,
2020-02-07,115.7,120.48,140.65,,,,,,,,100.0,
2020-02-08,123.02,134.34,167.8,,,,,,,,96.4285714,
2020-02-09,96.79,103.13,76.79,,,,,,,,78.2608696,
2020-02-10,107.55,106.62,100.51,,,,,,,,124.2424242,
2020-02-11,109.8,109.07,115.26,,,,,,,,113.5135135,
2020-02-12,110.74,111.2,125.35,,,,,,,,107.8947368,
2020-02-13,115.47,110.18,124.69,,,,,,,,115.3846154,
2020-02-14,124.92,123.91,150.77,,,,,,,,110.52631579999999,
2020-02-15,120.86,131.79,149.35,,89.0,92.0,66.0,90.0,97.0,102.0,103.5714286,
2020-02-16,105.1,116.64,96.03,,91.0,89.0,59.0,91.0,96.0,101.0,100.0,
2020-02-17,121.24,123.55,131.2,,111.0,104.0,128.0,97.0,87.0,102.0,115.1515152,
2020-02-18,120.38,122.11,131.72,,104.0,98.0,111.0,96.0,87.0,102.0,105.4054054,
2020-02-19,122.6,125.12,137.59,,103.0,97.0,103.0,95.0,87.0,103.0,105.2631579,
2020-02-20,123.31,124.27,136.05,,102.0,96.0,96.0,94.0,87.0,103.0,100.0,
2020-02-21,129.1,133.95,153.95,,103.0,99.0,110.0,95.0,86.0,103.0,94.7368421,
2020-02-22,128.6,141.61,170.22,,96.0,97.0,93.0,98.0,99.0,100.0,100.0,
2020-02-23,105.81,111.26,104.41,,99.0,97.0,91.0,101.0,99.0,100.0,104.3478261,
2020-02-24,106.45,107.64,104.32,,97.0,100.0,99.0,97.0,99.0,101.0,115.1515152,
2020-02-25,108.69,109.44,119.88,,99.0,102.0,105.0,100.0,101.0,100.0,113.5135135,
2020-02-26,110.88,110.17,125.12,,98.0,100.0,111.0,98.0,101.0,100.0,113.1578947,
2020-02-27,111.38,111.27,123.88,,100.0,99.0,104.0,99.0,100.0,101.0,112.8205128,
2020-02-28,123.68,122.41,133.76,,98.0,99.0,91.0,98.0,100.0,101.0,113.1578947,
2020-02-29,127.92,129.48,153.92,,98.0,100.0,79.0,95.0,100.0,101.0,114.2857143,
2020-03-01,106.82,109.14,109.26,,109.0,104.0,124.0,105.0,101.0,99.0,108.6956522,105.0
2020-03-02,103.19,102.74,103.64,100.0,102.0,106.0,115.0,97.0,101.0,100.0,115.1515152,99.0
2020-03-03,107.89,105.44,114.68,102.0,99.0,102.0,103.0,96.0,101.0,100.0,110.8108108,100.0
2020-03-04,111.68,106.93,114.25,100.0,97.0,101.0,93.0,96.0,100.0,101.0,121.0526316,102.0
2020-03-05,112.97,106.97,106.5,101.0,91.0,95.0,79.0,94.0,99.0,102.0,123.0769231,104.0
2020-03-06,122.13,118.77,142.09,99.0,101.0,108.0,114.0,97.0,100.0,101.0,110.52631579999999,99.0
2020-03-07,125.74,127.78,167.1,97.0,98.0,103.0,94.0,96.0,101.0,100.0,103.5714286,101.0
2020-03-08,99.51,100.86,96.86,94.0,99.0,103.0,98.0,96.0,100.0,100.0,100.0,99.0
2020-03-09,99.57,98.05,97.5,97.0,97.0,106.0,103.0,94.0,99.0,101.0,118.1818182,99.0
2020-03-10,101.66,99.47,105.54,97.0,94.0,107.0,97.0,93.0,98.0,102.0,105.4054054,99.0
2020-03-11,100.34,94.33,106.91,91.0,94.0,108.0,109.0,90.0,97.0,102.0,102.6315789,97.0
2020-03-12,94.95,86.28,98.87,84.0,92.0,114.0,97.0,87.0,95.0,103.0,100.0,97.0
2020-03-13,97.41,89.95,104.19,75.0,87.0,115.0,96.0,82.0,91.0,105.0,89.47368420000001,93.0
2020-03-14,96.71,94.84,117.44,75.0,80.0,109.0,83.0,78.0,96.0,104.0,82.1428571,89.0
2020-03-15,73.16,67.46,64.28,67.0,76.0,106.0,79.0,76.0,93.0,104.0,69.5652174,83.0
2020-03-16,75.92,57.95,64.53,60.0,86.0,123.0,126.0,75.0,82.0,107.0,100.0,84.0
2020-03-17,67.18,46.33,48.95,44.0,72.0,119.0,92.0,63.0,71.0,112.0,81.0810811,86.0
2020-03-18,64.19,40.32,43.31,36.0,67.0,128.0,93.0,57.0,64.0,116.0,73.6842105,80.0
2020-03-19,65.75,38.7,38.76,39.0,64.0,130.0,72.0,53.0,59.0,118.0,79.4871795,79.0
2020-03-20,61.08,34.64,37.49,31.0,54.0,108.0,78.0,49.0,56.0,120.0,60.5263158,68.0
2020-03-21,50.11,28.01,37.36,23.0,38.0,92.0,77.0,42.0,66.0,115.0,46.428571399999996,48.0
2020-03-22,41.9,25.9,30.76,23.0,33.0,80.0,94.0,39.0,60.0,113.0,34.7826087,40.0
2020-03-23,47.76,24.44,31.25,25.0,41.0,87.0,95.0,37.0,40.0,125.0,48.4848485,58.0
2020-03-24,35.82,17.15,24.63,15.0,24.0,75.0,81.0,28.0,30.0,131.0,29.729729699999993,46.0
2020-03-25,34.12,15.43,24.09,12.0,21.0,72.0,83.0,24.0,27.0,133.0,31.578947400000004,38.0
2020-03-26,31.86,14.49,22.89,10.0,20.0,68.0,80.0,23.0,25.0,134.0,25.641025600000006,35.0
2020-03-27,32.41,14.05,23.4,9.0,19.0,68.0,70.0,23.0,25.0,135.0,26.315789499999994,34.0
2020-03-28,26.99,13.6,23.4,8.0,15.0,59.0,43.0,22.0,37.0,123.0,25.0,24.0
2020-03-29,23.29,13.3,17.83,8.0,13.0,52.0,41.0,20.0,38.0,119.0,21.739130399999993,19.0
2020-03-30,29.43,14.16,19.72,10.0,21.0,64.0,59.0,21.0,23.0,133.0,24.242424200000002,34.0
2020-03-31,30.57,13.92,22.29,10.0,21.0,65.0,70.0,21.0,22.0,134.0,24.3243243,35.0
2020-04-01,30.5,13.66,22.19,9.0,19.0,64.0,68.0,20.0,22.0,135.0,23.684210500000006,34.0
2020-04-02,30.63,13.65,22.76,9.0,19.0,64.0,72.0,20.0,22.0,136.0,23.076923100000002,33.0
2020-04-03,32.55,13.36,24.34,8.0,19.0,66.0,73.0,21.0,23.0,136.0,23.684210500000006,33.0
2020-04-04,28.46,12.51,28.49,7.000000000000001,16.0,62.0,70.0,23.0,37.0,123.0,25.0,24.0
2020-04-05,25.7,12.83,26.06,9.0,16.0,59.0,85.0,24.0,39.0,118.0,21.739130399999993,20.0
2020-04-06,31.02,13.65,21.63,9.0,22.0,65.0,76.0,21.0,23.0,133.0,27.2727273,35.0
2020-04-07,32.09,13.36,24.64,9.0,21.0,67.0,91.0,22.0,22.0,134.0,27.027027000000004,35.0
2020-04-08,32.6,13.18,23.87,8.0,20.0,67.0,81.0,21.0,22.0,134.0,26.315789499999994,35.0
2020-04-09,33.37,13.25,26.13,8.0,22.0,74.0,90.0,22.0,22.0,134.0,25.641025600000006,36.0
2020-04-10,29.84,12.7,28.59,8.0,17.0,65.0,87.0,18.0,15.0,138.0,15.789473700000002,26.0
2020-04-11,28.14,12.1,28.58,7.000000000000001,16.0,64.0,66.0,23.0,36.0,123.0,25.0,23.0
2020-04-12,22.54,11.21,22.86,7.000000000000001,11.0,40.0,75.0,22.0,36.0,119.0,21.739130399999993,19.0
2020-04-13,26.93,12.72,22.8,8.0,17.0,57.0,80.0,15.0,13.0,137.0,15.151515200000006,25.0
2020-04-14,34.12,13.72,25.66,9.0,22.0,68.0,84.0,22.0,23.0,133.0,29.729729699999993,35.0
2020-04-15,35.22,13.91,27.44,9.0,21.0,68.0,94.0,22.0,23.0,134.0,28.947368400000002,34.0
2020-04-16,35.09,13.62,26.4,8.0,21.0,68.0,85.0,21.0,24.0,134.0,28.20512819999999,33.0
2020-04-17,34.98,13.17,23.27,8.0,19.0,66.0,57.0,21.0,25.0,136.0,28.947368400000002,33.0
2020-04-18,30.72,12.6,26.36,7.000000000000001,16.0,62.0,53.0,23.0,41.0,123.0,28.571428600000004,25.0
2020-04-19,29.98,13.58,30.4,9.0,17.0,58.0,94.0,25.0,44.0,117.0,26.0869565,22.0
2020-04-20,35.52,14.78,26.56,10.0,23.0,66.0,101.0,23.0,25.0,132.0,30.303030300000003,38.0
2020-04-21,36.16,14.7,26.45,9.0,22.0,67.0,97.0,23.0,25.0,133.0,29.729729699999993,38.0
2020-04-22,37.1,14.73,27.74,9.0,21.0,68.0,103.0,23.0,26.0,133.0,28.947368400000002,38.0
2020-04-23,37.52,14.85,27.79,9.0,22.0,70.0,108.0,23.0,26.0,133.0,30.769230800000003,36.0
2020-04-24,39.34,14.57,28.31,9.0,21.0,70.0,95.0,25.0,27.0,134.0,31.578947400000004,36.0
2020-04-25,34.77,14.42,32.12,8.0,18.0,65.0,75.0,26.0,43.0,121.0,32.1428571,27.0
2020-04-26,32.98,15.21,32.09,10.0,19.0,62.0,105.0,28.0,46.0,116.0,26.0869565,24.0
2020-04-27,37.17,15.41,24.59,10.0,24.0,68.0,98.0,24.0,27.0,131.0,36.3636364,39.0
2020-04-28,35.38,14.57,18.51,9.0,18.0,58.0,38.0,20.0,25.0,132.0,32.432432399999996,40.0
2020-04-29,37.2,15.04,22.16,9.0,21.0,67.0,65.0,23.0,27.0,133.0,31.578947400000004,39.0
2020-04-30,37.57,14.84,20.88,9.0,19.0,65.0,57.0,22.0,26.0,134.0,30.769230800000003,38.0
2020-05-01,40.43,15.62,25.0,9.0,20.0,70.0,68.0,25.0,28.0,134.0,34.2105263,39.0
2020-05-02,37.98,15.94,34.33,9.0,19.0,69.0,83.0,29.0,46.0,120.0,35.714285700000005,30.0
2020-05-03,33.7,16.21,27.38,10.0,18.0,60.0,77.0,26.0,47.0,117.0,26.0869565,25.0
2020-05-04,40.01,17.38,27.3,11.0,25.0,71.0,111.0,26.0,28.0,130.0,39.3939394,42.00000000000001
2020-05-05,41.84,17.57,28.09,11.0,23.0,71.0,100.0,25.0,28.0,131.0,35.1351351,42.00000000000001
2020-05-06,42.93,17.49,30.04,11.0,23.0,73.0,116.0,26.0,29.0,131.0,36.84210530000001,42.00000000000001
2020-05-07,43.56,17.67,30.98,11.0,25.0,78.0,121.0,27.0,29.0,131.0,33.33333330000001,44.99999999999999
2020-05-08,40.52,17.78,37.92,11.0,21.0,73.0,132.0,24.0,19.0,135.0,21.052631599999998,34.0
2020-05-09,40.53,18.45,40.92,11.0,20.0,70.0,105.0,30.0,47.0,119.0,35.714285700000005,33.0
2020-05-10,36.76,17.92,27.7,10.0,17.0,59.0,64.0,25.0,49.0,117.0,26.0869565,28.0
2020-05-11,,,,13.0,25.0,72.0,83.0,26.0,29.0,130.0,42.4242424,44.99999999999999
2020-05-12,,,,12.0,25.0,73.0,106.0,27.0,30.0,130.0,40.5405405,46.0
2020-05-13,48.96,19.95,31.43,12.0,23.0,71.0,88.0,26.0,30.0,131.0,39.4736842,46.0
2020-05-14,50.41,19.73,32.55,12.0,25.0,74.0,108.0,26.0,30.0,130.0,38.4615385,46.0
2020-05-15,55.15,20.81,37.94,13.0,25.0,76.0,121.0,29.0,32.0,130.0,42.105263199999996,47.0
2020-05-16,53.53,20.38,42.93,13.0,22.0,72.0,98.0,32.0,51.0,118.0,42.8571429,39.0
2020-05-17,51.94,21.57,41.36,15.0,23.0,69.0,140.0,33.0,54.0,114.0,39.1304348,36.0
2020-05-18,55.22,23.72,38.38,16.0,30.0,78.0,160.0,30.0,32.0,128.0,48.4848485,51.0
2020-05-19,58.66,23.93,40.69,16.0,29.0,79.0,164.0,31.0,32.0,128.0,40.5405405,52.0
2020-05-20,61.69,25.82,42.97,16.0,28.0,81.0,175.0,31.0,32.0,128.0,36.84210530000001,56.0
2020-05-21,60.28,24.67,39.41,15.0,28.0,81.0,154.0,30.0,32.0,129.0,33.33333330000001,52.0
2020-05-22,64.74,25.06,42.71,15.0,27.0,81.0,125.0,31.0,34.0,129.0,42.105263199999996,54.0
2020-05-23,60.05,24.28,43.69,15.0,24.0,76.0,90.0,33.0,55.0,118.0,39.285714299999995,43.99999999999999
2020-05-24,57.42,24.9,44.9,18.0,26.0,72.0,147.0,37.0,57.0,112.0,34.7826087,43.00000000000001
2020-05-25,65.47,29.48,51.69,20.0,30.0,77.0,260.0,28.0,18.0,128.0,27.2727273,58.0
2020-05-26,67.38,29.31,44.11,17.0,30.0,81.0,157.0,32.0,33.0,127.0,43.2432432,64.0
2020-05-27,67.55,28.33,43.93,17.0,29.0,80.0,154.0,31.0,34.0,127.0,42.105263199999996,59.0
2020-05-28,71.08,29.02,45.73,17.0,30.0,82.0,166.0,32.0,34.0,128.0,46.153846200000004,58.0
2020-05-29,73.99,30.22,49.3,18.0,29.0,84.0,161.0,34.0,36.0,127.0,47.3684211,60.0
2020-05-30,72.93,31.42,58.3,19.0,26.0,80.0,148.0,39.0,65.0,114.0,46.428571399999996,55.0
2020-05-31,66.66,31.19,48.5,21.0,27.0,75.0,168.0,39.0,67.0,111.0,39.1304348,51.0
2020-06-01,69.5,32.18,45.67,20.0,35.0,84.0,175.0,35.0,37.0,125.0,51.5151515,64.0
2020-06-02,71.41,32.59,47.53,20.0,32.0,82.0,170.0,34.0,37.0,125.0,48.6486486,66.0
2020-06-03,66.58,31.34,40.6,18.0,29.0,77.0,101.0,32.0,37.0,127.0,47.3684211,61.0
2020-06-04,66.54,29.03,39.53,17.0,30.0,79.0,107.0,32.0,37.0,128.0,46.153846200000004,59.0
2020-06-05,70.69,30.35,41.52,17.0,29.0,80.0,97.0,33.0,38.0,128.0,50.0,62.0
2020-06-06,66.69,31.14,43.07,18.0,25.0,73.0,64.0,35.0,62.0,117.0,46.428571399999996,54.0
2020-06-07,62.9,30.97,41.9,20.0,28.0,73.0,111.0,38.0,65.0,112.0,43.478260899999995,51.0
2020-06-08,67.38,31.01,41.4,19.0,35.0,81.0,133.0,34.0,39.0,125.0,51.5151515,63.0
2020-06-09,70.64,31.85,45.35,19.0,33.0,80.0,148.0,34.0,39.0,125.0,54.0540541,66.0
2020-06-10,66.57,30.17,36.09,17.0,29.0,75.0,79.0,31.0,38.0,128.0,50.0,64.0
2020-06-11,68.02,30.24,39.62,17.0,32.0,79.0,107.0,32.0,38.0,127.0,,62.0
2020-06-12,74.47,33.37,43.84,18.0,31.0,81.0,101.0,34.0,40.0,127.0,57.894736800000004,61.0
2020-06-13,82.27,36.8,63.42,24.0,31.0,82.0,154.0,42.0,72.0,112.0,64.2857143,63.0
2020-06-14,71.42,35.0,49.37,24.0,32.0,77.0,171.0,42.0,73.0,110.0,52.173913,57.0
2020-06-15,74.5,36.31,48.64,23.0,45.0,84.0,158.0,38.0,41.0,123.0,66.66666670000001,70.0
2020-06-16,74.99,35.46,47.76,21.0,41.0,84.0,153.0,37.0,40.0,124.0,59.4594595,69.0
2020-06-17,73.62,34.33,42.37,20.0,37.0,80.0,117.0,35.0,40.0,125.0,57.894736800000004,66.0
2020-06-18,74.41,35.35,42.36,20.0,37.0,81.0,110.0,34.0,39.0,126.0,56.410256399999994,65.0
2020-06-19,82.88,38.17,50.43,22.0,38.0,86.0,119.0,38.0,42.0,124.0,63.1578947,70.0
2020-06-20,86.88,41.19,63.68,27.0,37.0,85.0,143.0,46.0,75.0,111.0,71.42857140000001,70.0
2020-06-21,71.02,35.95,42.86,24.0,37.0,78.0,139.0,43.0,77.0,109.0,56.521739100000005,62.0
2020-06-22,83.57,42.1,53.72,26.0,46.0,87.0,197.0,40.0,40.0,122.0,69.6969697,72.0
2020-06-23,87.03,44.45,56.26,26.0,42.0,87.0,190.0,40.0,40.0,122.0,64.8648649,78.0
2020-06-24,90.55,46.58,57.67,26.0,40.0,88.0,189.0,39.0,42.0,122.0,63.1578947,80.0
2020-06-25,92.01,48.25,57.66,27.0,40.0,89.0,188.0,39.0,41.0,122.0,61.538461500000004,84.0
2020-06-26,96.68,47.16,59.9,27.0,39.0,89.0,157.0,41.0,43.0,122.0,76.3157895,81.0
2020-06-27,85.93,44.12,54.54,25.0,35.0,82.0,92.0,43.0,71.0,112.0,67.8571429,70.0
2020-06-28,79.55,41.37,47.73,28.000000000000004,38.0,77.0,126.0,45.0,78.0,109.0,60.8695652,65.0
2020-06-29,81.79,43.61,49.55,26.0,45.0,85.0,134.0,39.0,42.0,122.0,69.6969697,75.0
2020-06-30,83.32,42.79,48.58,25.0,42.0,82.0,112.0,37.0,42.0,123.0,64.8648649,77.0
2020-07-01,84.76,43.47,51.01,25.0,42.0,83.0,124.0,38.0,43.0,123.0,68.4210526,76.0
2020-07-02,85.05,43.29,49.51,25.0,42.0,83.0,116.0,38.0,42.0,123.0,66.66666670000001,76.0
2020-07-03,94.29,47.43,57.57,28.000000000000004,42.0,87.0,135.0,42.0,44.0,122.0,78.9473684,78.0
2020-07-04,91.56,50.91,67.33,32.0,43.0,81.0,100.0,48.0,77.0,110.0,71.42857140000001,74.0
2020-07-05,84.44,48.68,56.97,34.0,48.0,80.0,159.0,50.0,80.0,107.0,60.8695652,75.0
2020-07-06,90.15,51.02,57.67,31.0,52.0,85.0,153.0,42.0,43.0,120.0,75.7575758,81.0
2020-07-07,92.97,50.86,58.11,28.999999999999996,48.0,82.0,132.0,41.0,42.0,121.0,75.6756757,86.0
2020-07-08,88.92,49.03,54.53,28.999999999999996,45.0,80.0,95.0,39.0,43.0,122.0,65.7894737,83.0
2020-07-09,90.6,50.37,55.72,28.999999999999996,46.0,82.0,105.0,40.0,43.0,122.0,66.66666670000001,81.0
2020-07-10,106.02,56.37,69.06,33.0,48.0,86.0,136.0,44.0,45.0,119.0,73.6842105,77.0
